The base currency: U.S. dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States,,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States
,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA,,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA
,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,,S_AUS,S_CAN,S_DEN,S_GBR,S_JPN,S_KOR,S_NOR,S_SWE,S_CHE,S_AUT,S_BEL,S_FRA,S_GER,S_ESP,S_ITA,S_FIN,S_NET,S_USA
1979.2,-0.1143103462,0.1551216369,1.6695918353,-0.7739895684,5.3798973535,6.1820849067,1.628848306,1.4538829137,0.5075402328,2.6087821994,3.3882809897,1.455120552,0.6142121925,4.1897759468,6.7247334771,1.3602070264,0.7080357931,0,1979.2,0.89198109,1.1678,5.31,0.4611695259,217,484,5.098,4.2797,1.6612,13.5825,29.615,4.285,1.8482,66.008,832.75,3.897,2.03,1
1979.3,-0.1220406259,0.1489371128,1.6277688691,-0.7873658558,5.4085161588,6.1820849067,1.5863739728,1.4180352469,0.4427608929,2.5292424636,3.3387899215,1.4111089175,0.5553208637,4.1900334582,6.6871086079,1.312647821,0.6582969031,0,1979.3,0.8851124093,1.1606,5.0925,0.4550418639,223.3,484,4.886,4.129,1.557,12.544,28.185,4.1005,1.7425,66.025,802,3.716,1.9315,1
1979.4,-0.1002977213,0.1553784972,1.6798963761,-0.7993073764,5.4793881414,6.1820849067,1.5945272997,1.4222646049,0.457424847,2.5201933528,3.3339173282,1.3912819026,0.5489880849,4.1919097733,6.6895992692,1.3113013821,0.6447444413,0,1979.4,0.9045680687,1.1681,5.365,0.4496402878,239.7,484,4.926,4.1465,1.58,12.431,28.048,4.02,1.7315,66.149,804,3.711,1.9055,1
1980.1,-0.0798272999,0.1751290862,1.7960834407,-0.7732514248,5.5202601973,6.3734904235,1.6428726885,1.4944534571,0.6054082663,2.6324642141,3.4394560938,1.4992881689,0.6636668752,4.2808241292,6.800448426,1.357380351,0.7547125362,0,1980.1,0.9232757825,1.1914,6.026,0.4615100609,249.7,586.1,5.17,4.4569,1.832,13.908,31.17,4.4785,1.9419,72.3,898.25,3.886,2.127,1
1980.2,-0.1463488963,0.1406311297,1.6965326193,-0.8595087178,5.382658515,6.4019171967,1.5772245901,1.4231806208,0.4814997944,2.5251684874,3.3364810669,1.4078112046,0.5642905584,4.2494091101,6.731853074,1.2892326483,0.6562238265,0,1980.2,0.8638562543,1.151,5.455,0.4233700254,217.6,603,4.8415,4.1503,1.6185,12.493,28.12,4.087,1.7582,70.064,838.7,3.63,1.9275,1
1980.3,-0.1561486825,0.1574310079,1.7205319599,-0.8705818158,5.3575292262,6.4377516497,1.5828885772,1.4262840093,0.5016839658,2.5513963911,3.3679852475,1.4349654706,0.5940448195,4.302712828,6.7592552707,1.2996465544,0.6757466659,0,1980.3,0.8554319932,1.1705,5.5875,0.4187078675,212.2,625,4.869,4.1632,1.6515,12.825,29.02,4.1995,1.8113,73.9,862,3.668,1.9655,1
1980.4,-0.1661074829,0.1778951078,1.7942563494,-0.8691991243,5.313205979,6.4920883084,1.6448050563,1.4754035362,0.5673004707,2.6253205535,3.4507174381,1.5076266463,0.672434139,4.3726074128,6.8357220761,1.3454723666,0.7558872104,0,1980.4,0.8469551961,1.1947,6.015,0.4192872117,203,659.9,5.18,4.3728,1.7635,13.809,31.523,4.516,1.959,79.25,930.5,3.84,2.1295,1
1981.1,-0.1556352915,0.1712606094,1.8903219304,-0.8083491102,5.3518581335,6.5114481087,1.6812933495,1.5244245381,0.6496131785,2.6996147223,3.5394364259,1.6010024336,0.7427941204,4.4461979009,6.9545911538,1.4026597152,0.8450095299,0,1981.1,0.855871277,1.1868,6.6215,0.4455930844,211,672.8,5.3725,4.5925,1.9148,14.874,34.4475,4.958,2.1018,85.302,1047.95,4.066,2.328,1
1981.2,-0.1380212979,0.1827381367,2.0145696316,-0.6641302315,5.4196496517,6.529564813,1.7930086886,1.6262950295,0.7085282826,2.8249439526,3.6702061888,1.7435316469,0.8716698641,4.5554335741,7.0829682965,1.4920048155,0.97907772,0,1981.2,0.8710801394,1.2005,7.4975,0.5147210212,225.8,685.1,6.0075,5.085,2.031,16.86,39.26,5.7175,2.3909,95.148,1191.5,4.446,2.662,1
1981.3,-0.1322555791,0.1879722283,1.9882167553,-0.5880644041,5.4497500703,6.530148499,1.7843991148,1.7224093911,0.6787946743,2.7909810418,3.6362036255,1.7168563092,0.8426441917,4.5692839074,7.0711488259,1.5000693754,0.9485642924,0,1981.3,0.8761170492,1.2068,7.3025,0.5554012774,232.7,685.5,5.956,5.598,1.9715,16.297,37.9475,5.567,2.3225,96.475,1177.5,4.482,2.582,1
1981.4,-0.1203574967,0.17050198,1.9912931549,-0.646055573,5.3931728976,6.5517943658,1.7591501857,1.717574571,0.5869529842,2.7653752677,3.6496187402,1.7488519682,0.8130612772,4.579339426,7.0900768358,1.4717837471,0.9036106787,0,1981.4,0.8866034223,1.1859,7.325,0.5241090147,219.9,700.5,5.8075,5.571,1.7985,15.885,38.46,5.748,2.2548,97.45,1200,4.357,2.4685,1
1982.1,-0.0490758376,0.2072580421,2.1083933636,-0.5775679647,5.5073619935,6.5768873091,1.8115620965,1.7835592727,0.6596938043,2.8318005819,3.8190301386,1.8313006438,0.8813679693,4.6709579265,7.1869010204,1.5308275119,0.9848835233,0,1982.1,0.9521089213,1.2303,8.235,0.5612617163,246.5,718.3,6.12,5.951,1.9342,16.976,45.56,6.242,2.4142,106.8,1322,4.622,2.6775,1
1982.2,-0.0220549908,0.2569650998,2.1402426185,-0.5529076241,5.537334267,6.6077306833,1.8324214509,1.806976435,0.743602624,2.8516309296,3.8474311495,1.92117825,0.9000800458,4.7095302013,7.2321910818,1.5530791788,1.0006318803,0,1982.2,0.9781864423,1.293,8.5015,0.5752746937,254,740.8,6.249,6.092,2.1035,17.316,46.8725,6.829,2.4598,111,1383.25,4.726,2.72,1
1982.3,0.0520304081,0.212123048,2.1812645578,-0.5263248872,5.5965683903,6.6105614462,1.9400357859,1.8390405588,0.7736666976,2.8785802887,3.8934516198,1.9654326251,0.9272702359,4.7368911908,7.260171166,1.5789787049,1.0166789059,0,1982.3,1.0534077741,1.2363,8.8575,0.5907721392,269.5,742.9,6.959,6.2905,2.1677,17.789,49.08,7.138,2.5276,114.079,1422.5,4.85,2.764,1
1982.4,0.0195906498,0.2065262455,2.1263251276,-0.4790253112,5.4595855141,6.6184719252,1.9535948318,1.9871206395,0.6903933924,2.8146299732,3.8484440238,1.9058319255,0.8656288171,4.8331102158,7.2225660188,1.6660072639,0.9648904017,0,1982.4,1.0197838058,1.2294,8.384,0.6193868071,235,748.8,7.054,7.2945,1.9945,16.687,46.92,6.725,2.3765,125.601,1370,5.291,2.6245,1
1983.1,0.1474564695,0.2101798849,2.1525758257,-0.3913661837,5.4781357931,6.6377821403,1.974081026,2.0161023011,0.7331848676,2.8362674989,3.8767584563,1.9836875134,0.8864498899,4.9168373037,7.2758646005,1.6994614151,1.0055828394,0,1983.1,1.1588828369,1.2339,8.607,0.676132522,239.4,763.4,7.2,7.509,2.0817,17.052,48.2675,7.2695,2.4265,136.57,1445,5.471,2.7335,1
1983.2,0.1341029845,0.2048166346,2.21227738,-0.4255291391,5.4793881414,6.6550541754,1.987189182,2.0337247748,0.7440779092,2.8861963865,3.93055031,2.0330703245,0.9329118329,4.979144627,7.3187053173,1.7121749899,1.0467925399,0,1983.2,1.1435105775,1.2273,9.1365,0.6534239415,239.7,776.7,7.295,7.6425,2.1045,17.925,50.935,7.6375,2.5419,145.35,1508.25,5.541,2.8485,1
1983.3,0.1092569859,0.208882342,2.2538149286,-0.4025943247,5.4642554441,6.6711464767,1.9960599327,2.0569402763,0.7559811247,2.9205776,3.9796816539,2.0805659093,0.9704379499,5.0233540665,7.3769773529,1.7330704729,1.0818051704,0,1983.3,1.1154489682,1.2323,9.524,0.668583272,236.1,789.3,7.36,7.822,2.1297,18.552,53.5,8.009,2.6391,151.92,1598.75,5.658,2.95,1
1983.4,0.1031407589,0.218653486,2.2900063108,-0.3719772639,5.4475990693,6.6789708478,2.0440967076,2.0795665339,0.7790954927,2.962227195,4.0189023671,2.1219620928,1.0020279642,5.0543331494,7.4142716312,1.7595805709,1.1198844239,0,1983.4,1.1086474501,1.2444,9.875,0.6893699159,232.2,795.5,7.72218,8.001,2.1795,19.341,55.64,8.3475,2.7238,156.7,1659.5,5.81,3.0645,1
1984.1,0.0672087497,0.2441219577,2.2554934855,-0.3664470411,5.4147661792,6.6743088347,2.0163686127,2.043296095,0.7669551077,2.904219873,3.9718002095,2.0769384115,0.9516578757,5.0022468762,7.3894095254,1.7186509974,1.0719260234,0,1984.1,1.0695187166,1.2765,9.54,0.6931928462,224.7,791.8,7.511,7.716,2.1532,18.251,53.08,7.98,2.59,148.747,1618.75,5.577,2.921,1
